what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1327189041166
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1327189043088
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1327189043822
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1327189046854
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1327189047322
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327189073666
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327189076947
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327189077197
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1327189088604
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327189091776
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327189092072
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327189093713
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1327189097447
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1327189097510
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1327189104822
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1327189105697
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1327189116151
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327189117104
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1327189127338
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327189128244
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327189142041
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327189142166
started,bundle,org.eclipse.wb.os,1.1.0.r37x201109091012,"org.eclipse.wb.os",1327189189307
started,bundle,org.eclipse.wb.os.win32,1.1.0.r37x201109091012,"org.eclipse.wb.os.win32",1327189189307
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327189217432
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327189306572
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327189308166
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327189370322
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327189371104
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1327189372104
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327189378885
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327189379088
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327189421072
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327189689854
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327189690057
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327189693807
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327189696604
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327189698666
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1327189777838
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327189778057
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1327189784057
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327189784666
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1327189788791
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327189788869
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327189791463
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1327189793026
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1327189852697
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1327189859916
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327189866666
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327189903229
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327189904916
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327189911838
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327189912010
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327189912151
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327189919947
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1327189919963
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327189924057
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327189925776
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327189926760
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327189957947
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327189987838
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.properties",1327189987869
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327189999682
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190000947
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190014822
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327190014854
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1327190017447
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1327190029791
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190036119
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190043057
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190127026
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190180322
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1327190180354
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327190180979
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1327190182135
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1327190183151
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1327190185791
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1327190186885
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1327190186947
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327190188541
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1327190188541
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190195916
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190249072
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1327190249104
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190250807
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190250807
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190250885
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190259197
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190301885
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190327619
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1327190448260
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190495010
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190528901
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190558494
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190583354
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327190616760
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190624791
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327190625822
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190626010
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1327190626026
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190630510
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190650854
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327190651026
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327190651135
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327190660072
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1327190664385
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327190665010
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327190665932
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190667291
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190668994
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1327190672135
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327190674354
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190677166
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190678276
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327190706010
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327190724932
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1327190730135
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327190731229
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1327190734526
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327190735541
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1327190759354
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327190760541
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190762432
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190765088
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190765229
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190768416
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1327190769213
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327190769541
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1327190903182
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1327190903869
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1327190904494
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1327190904869
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1327190905619
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190924635
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190925760
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1327190951276
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190951510
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327190953119
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327191033088
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327191034619
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1327191069385
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1327191096197
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1327191098697
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191100541
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191103697
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191109510
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191110744
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191112182
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191116635
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1327191117057
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.VariableView",1327191117166
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1327191117244
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.BreakpointView",1327191118197
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191122385
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191123651
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1327191127776
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327191156854
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327191164697
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327191170322
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1327191175369
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1327191175869
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191177088
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191177494
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191180119
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191181901
no handler,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.StepInto",1327191186026
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191189385
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191195463
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191195588
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191196963
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1327191198494
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327191214385
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191223291
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191226651
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327191305557
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1327191311088
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327191357026
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191361479
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191361557
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327191442901
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327191453010
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1327191509807
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1327191599651
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327191600588
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1327191616791
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327191617666
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1327191621807
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191628729
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191628854
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191631151
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191631385
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1327191636369
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1327191641651
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1327191641776
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191644619
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191644619
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191644697
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191691916
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327191693666
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1327191701776
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1327191711635
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191742166
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191749838
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191752619
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191752619
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191752729
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191825135
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327191825166
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1327191828619
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1327191828760
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1327191832901
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191848744
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327191848760
