what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1327228683077
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1327228683093
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1327228683109
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1327228683140
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1327228683140
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1327228683140
started,bundle,com.collabnet.subversion.merge,3.0.5,"com.collabnet.subversion.merge",1327228683140
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui",1327228683156
started,bundle,org.tigris.subversion.clientadapter,1.8.0,"org.tigris.subversion.clientadapter",1327228683156
started,bundle,org.tigris.subversion.subclipse.core,1.8.4,"org.tigris.subversion.subclipse.core",1327228683156
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1327228683156
started,bundle,org.tigris.subversion.subclipse.ui,1.8.4,"org.tigris.subversion.subclipse.ui",1327228683171
os,sysinfo,,,"win32",1327228683171
arch,sysinfo,,,"x86",1327228683171
ws,sysinfo,,,"win32",1327228683171
locale,sysinfo,,,"nl_NL",1327228683171
processors,sysinfo,,,"2",1327228683171
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1327228683171
java.runtime.version,sysinfo,,,"1.6.0_29-b11",1327228683171
java.specification.name,sysinfo,,,"Java Platform API Specification",1327228683171
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1327228683171
java.specification.version,sysinfo,,,"1.6",1327228683171
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1327228683171
java.version,sysinfo,,,"1.6.0_29",1327228683171
java.vm.info,sysinfo,,,"mixed mode",1327228683171
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1327228683171
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1327228683171
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1327228683171
java.vm.specification.version,sysinfo,,,"1.0",1327228683171
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1327228683171
java.vm.version,sysinfo,,,"20.4-b02",1327228683171
