what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1327263226152
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1327263226153
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1327263226153
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1327263226153
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1327263226154
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1327263226155
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1327263226155
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1327263226156
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1327263226156
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1327263226158
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1327263226159
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1327263226160
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1327263226160
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1327263226161
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1327263226161
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1327263226162
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1327263226163
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1327263226164
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1327263226164
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1327263226164
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1327263226165
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1327263226166
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1327263226167
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1327263226167
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1327263226168
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1327263226168
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1327263226169
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1327263226171
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1327263226171
started,bundle,org.eclipse.imp.runtime,0.2.1.201110311112,"org.eclipse.imp.runtime",1327263226171
started,bundle,rascal_eclipse,0.2.5.201110311112,"rascal_eclipse",1327263226172
started,bundle,org.eclipse.soc.ewi,1.0.4,"org.eclipse.soc.ewi",1327263226172
os,sysinfo,,,"win32",1327263226175
arch,sysinfo,,,"x86_64",1327263226175
ws,sysinfo,,,"win32",1327263226175
locale,sysinfo,,,"nl_NL",1327263226175
processors,sysinfo,,,"8",1327263226175
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1327263226175
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1327263226175
java.specification.name,sysinfo,,,"Java Platform API Specification",1327263226175
java.specification.vendor,sysinfo,,,"Oracle Corporation",1327263226175
java.specification.version,sysinfo,,,"1.7",1327263226175
java.vendor,sysinfo,,,"Oracle Corporation",1327263226175
java.version,sysinfo,,,"1.7.0_02",1327263226175
java.vm.info,sysinfo,,,"mixed mode",1327263226175
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1327263226175
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1327263226175
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1327263226175
java.vm.specification.version,sysinfo,,,"1.7",1327263226175
java.vm.vendor,sysinfo,,,"Oracle Corporation",1327263226175
java.vm.version,sysinfo,,,"22.0-b10",1327263226175
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327263226641
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1327263230357
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1327263230446
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1327263230480
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1327263231122
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327263378537
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1327263378700
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1327263378705
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327263380041
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1327263380223
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1327263380231
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1327263380277
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1327263381805
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1327263382725
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1327263382775
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327263383451
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327263388139
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327263388213
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327263391171
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1327263397033
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327263453022
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327263454922
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327263455081
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1327263461048
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1327263476584
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327263476585
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1327263478280
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327263486044
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327263487973
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1327263487985
